[DEBUG] 2021-02-17 20:56:16.054 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-17 20:56:16.071 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-17 20:56:16.075 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-17 20:56:16.165 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-17 20:56:16.168 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-17 20:56:16.464 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-17 20:56:16.466 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-17 20:56:16.470 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-17 20:56:16.753 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-17 20:56:16.771 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-17 20:56:16.772 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-17 20:56:16.787 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-17 20:56:16.973 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3c0fbd3a
[DEBUG] 2021-02-17 20:56:16.973 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3c0fbd3a
[DEBUG] 2021-02-17 20:56:16.973 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3c0fbd3a
[DEBUG] 2021-02-17 20:56:16.974 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5b12012e
[DEBUG] 2021-02-17 20:56:16.975 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3721177d
[DEBUG] 2021-02-17 20:56:16.976 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2b4786dd
[DEBUG] 2021-02-17 20:56:16.977 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2df3c564
[DEBUG] 2021-02-17 20:56:16.977 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2df3c564
[DEBUG] 2021-02-17 20:56:16.977 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2df3c564
[DEBUG] 2021-02-17 20:56:16.979 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@57ce634f
